measrmnt. timestamp,parent TF,child  TF,X from TF,Y from TF,Z from TF,D from TF,X    Real,Y    Real,Z    Real,Dist Real,dX R - TF,dY R - TF,dZ R - TF,dD   R-TF,Max Error
2014-08-01 10:40:52,base_link,neck_tilt,0.18000000715255737,0.0,1.7319999486207962,1.7413281783160122,,,1.732,1.732,,,5.137920378039951e-08,-0.009328178316012181,5.137920378039951e-08
2014-08-01 10:45:37,base_link,right_arm,0.12100000310377887,0.19499999284744263,0.9900000086263521,1.0162509606597154,,,0.995,0.995,,,0.004999991373647927,-0.021250960659715434,0.004999991373647927
measrmnt. timestamp,parent TF,child  TF,X from TF,Y from TF,Z from TF,D from TF,X    Real,Y    Real,Z    Real,Dist Real,dX R - TF,dY R - TF,dZ R - TF,dD   R-TF,Max Error
2014-08-01 10:55:52,base_link,neck_tilt,    0.180,    0.000,    1.732,    1.741,    1.732,,,    1.732,    1.552,,,   -0.009,    1.552
measrmnt. timestamp,parent TF,child  TF,X from TF,Y from TF,Z from TF,D from TF,X    Real,Y    Real,Z    Real,Dist Real,dX R - TF,dY R - TF,dZ R - TF,dD   R-TF,Max Error
2014-08-01 10:56:40,base_link,neck_tilt,    0.180,    0.000,    1.732,    1.741,,,    1.732,    1.732,,,    0.000,   -0.009,    0.000
measrmnt. timestamp,parent TF,child  TF,X from TF,Y from TF,Z from TF,D from TF,X    Real,Y    Real,Z    Real,Dist Real,dX R - TF,dY R - TF,dZ R - TF,dD   R-TF,Max Error
2014-08-01 11:01:21,base_link,neck_tilt,    0.180,    0.000,    1.732,    1.741,,,    1.732,    1.732,,,    0.000,   -0.009,    0.000
2014-08-01 11:02:33,base_link,right_arm,    0.121,    0.195,    0.990,    1.016,    0.995,,,    0.995,    0.874,,,   -0.021,    0.874
measrmnt. timestamp,parent TF,child  TF,X from TF,Y from TF,Z from TF,D from TF,X    Real,Y    Real,Z    Real,Dist Real,dX R - TF,dY R - TF,dZ R - TF,dD   R-TF,Max Error
2014-08-01 11:02:53,base_link,neck_tilt,    0.180,    0.000,    1.732,    1.741,,,    1.732,    1.732,,,    0.000,   -0.009,    0.000
2014-08-01 11:03:01,base_link,right_arm,    0.121,    0.195,    0.990,    1.016,,,    0.995,    0.995,,,    0.005,   -0.021,    0.005
measrmnt. timestamp,parent TF,child  TF,X from TF,Y from TF,Z from TF,D from TF,X    Real,Y    Real,Z    Real,Dist Real,dX R - TF,dY R - TF,dZ R - TF,dD   R-TF,Max Error
2014-08-01 11:04:17,base_link,neck_tilt,    0.180,    0.000,    1.732,    1.741,,,    1.732,    1.732,,,    0.000,   -0.009,    0.000
2014-08-01 11:04:26,base_link,right_arm,    0.121,    0.195,    0.990,    1.016,,,    0.995,    0.995,,,    0.005,   -0.021,    0.005
measrmnt. timestamp,parent TF,child  TF,X from TF,Y from TF,Z from TF,D from TF,X    Real,Y    Real,Z    Real,Dist Real,dX R - TF,dY R - TF,dZ R - TF,dD   R-TF,Max Error
2014-08-01 11:05:25,base_link,neck_tilt,    0.180,    0.000,    1.732,    1.741,,,    1.732,    1.732,,,    0.000,   -0.009,    0.000
2014-08-01 11:05:32,base_link,right_arm,    0.121,    0.195,    0.990,    1.016,,,    0.995,    0.995,,,    0.005,   -0.021,    0.005
measrmnt. timestamp,parent TF,child  TF,X from TF,Y from TF,Z from TF,D from TF,X    Real,Y    Real,Z    Real,Dist Real,dX R - TF,dY R - TF,dZ R - TF,dD   R-TF,Max Error
measrmnt. timestamp,parent TF,child  TF,X from TF,Y from TF,Z from TF,D from TF,X    Real,Y    Real,Z    Real,Dist Real,dX R - TF,dY R - TF,dZ R - TF,dD   R-TF,Max Error
2014-08-01 11:06:09,base_link,neck_tilt,    0.180,    0.000,    1.732,    1.741,,,    1.732,    1.732,,,    0.000,   -0.009,    0.000
2014-08-01 11:06:20,base_link,right_arm,    0.121,    0.195,    0.990,    1.016,,,    0.995,    0.995,,,    0.005,   -0.021,    0.005
measrmnt. timestamp,parent TF,child  TF,X from TF,Y from TF,Z from TF,D from TF,X    Real,Y    Real,Z    Real,Dist Real,dX R - TF,dY R - TF,dZ R - TF,dD   R-TF,Max Error
2014-08-01 11:08:03,base_link,neck_tilt,    0.180,    0.000,    1.732,    1.741,,,    1.732,    1.732,,,    0.000,   -0.009,    0.000
2014-08-01 11:08:30,base_link,right_arm,    0.121,    0.195,    0.990,    1.016,,,    0.995,    0.995,,,    0.005,   -0.021,    0.005
measrmnt. timestamp,parent TF,child  TF,X from TF,Y from TF,Z from TF,D from TF,X    Real,Y    Real,Z    Real,Dist Real,dX R - TF,dY R - TF,dZ R - TF,dD   R-TF,Max Error
2014-08-01 11:13:55,base_link,neck_tilt,    0.180,    0.000,    1.732,    1.741,,,    1.732,    1.732,,,    0.000,   -0.009,    0.000
2014-08-01 11:14:03,base_link,right_arm,    0.121,    0.195,    0.990,    1.016,,,    0.995,    0.995,,,    0.005,   -0.021,    0.005
2014-08-01 11:15:00,lift_link,right_arm,    0.101,    0.195,    0.440,    0.492,,,    0.430,    0.430,,,   -0.010,   -0.062,   -0.010
measrmnt. timestamp,parent TF,child  TF,X from TF,Y from TF,Z from TF,D from TF,X    Real,Y    Real,Z    Real,Dist Real,dX R - TF,dY R - TF,dZ R - TF,dD   R-TF,Max Error
measrmnt. timestamp,parent TF,child  TF,X from TF,Y from TF,Z from TF,D from TF,X    Real,Y    Real,Z    Real,Dist Real,dX R - TF,dY R - TF,dZ R - TF,dD   R-TF,Max Error
2014-08-01 12:15:33,base_link,right_arm_grippermarker_observed,    0.657,    0.017,    1.223,    1.389,,,    1.222,    1.222,,,   -0.001,   -0.167,   -0.001
measrmnt. timestamp,parent TF,child  TF,X from TF,Y from TF,Z from TF,D from TF,X    Real,Y    Real,Z    Real,Dist Real,dX R - TF,dY R - TF,dZ R - TF,dD   R-TF,Max Error
measrmnt. timestamp,parent TF,child  TF,X from TF,Y from TF,Z from TF,D from TF,X    Real,Y    Real,Z    Real,Dist Real,dX R - TF,dY R - TF,dZ R - TF,dD   R-TF,Max Error
measrmnt. timestamp,parent TF,child  TF,X from TF,Y from TF,Z from TF,D from TF,X    Real,Y    Real,Z    Real,Dist Real,dX R - TF,dY R - TF,dZ R - TF,dD   R-TF,Max Error
2014-08-01 12:19:40,base_link,right_arm_grippermarker_observed,    0.785,    0.040,    1.181,    1.419,,,    1.179,    1.179,,,   -0.002,   -0.240,   -0.002
